original_index,review_text,polarity,predicted,predicted_label
1158418,"Meu olho sorriu com esse filme, ele é maravilhoso, a estética desse filme ultrapassa o comum chega a um nível extraterrestre, é tudo muito perfeito e único. O filme que, apesar dos acontecimentos inesperados, algumas vezes parece infantil a ponto de ter elementos que vemos mais frequentemente em animações e também apesar de na maior parte do tempo a trilha sonora tenta passar certo conforto ao espectador, é um filme que se leva muito a sério, ele é alegre mas ao mesmo tempo trágico.Vale cada segundo!",1.0,1,positivo
914486,EU TO TÃO SECA QUE NEM ÁGUA ME SALVA AGORA,1.0,0,negativo
1122870,Quero um Mark Darcy pra mim! <3,1.0,1,positivo
1424777,"Introspectivo, insano e psicodélico! obra de arte! espetáculo para os olhos e principalmente para os ouvidos, com o excelente som de Pink Floyd.",1.0,1,positivo
1342672,Isla Fisher é uma fofa ! E os filmes dela seguem a tendencia.,1.0,1,positivo
1284435,eu acho lindinho esse filme.,1.0,1,positivo
1244431,"Um filme magnifico, sem dúvidas. Eu o prefiro por contar o futuro e o passado da família Corleone. Mostra a ascenção de Vito e a decadência de Mike. Genial.",1.0,1,positivo
1565374,"Lindo, vale muito a pena.",1.0,1,positivo
1327800,Magníífico!,1.0,1,positivo
973727,"Que filme loooouco! Em relação a ação o filme está bem melhor que o primeiro, mas o primeiro é o nascimento de tudo. Pra mim é melhor que o segundo. A cena de perseguição dos gêmeos atrás do chaveiro e que depois começa a aparecer os agentes na via expressa é sensacional. Melhor ainda é o final dessa cena. Eu gritei junto com o Link. É muito foda! Gostei bastante também da fotografia e dos efeitos especiais. Esse filme é de tirar o fôlego! A pancadaria do Neo com vários Smith também é demais. Agora o Smith estava muito melhor no primeiro filme. Muito mesmo. Morfeu também entrou na pancadaria, mas apanha que só! =P (Ele tmb tava gordo que só kkk) Enfim... Esperar que a terceira seja tão boa quanto os dois primeiros.",1.0,1,positivo
1132632,"Estava meio resistente pra assistir, mas foi legal. Tô confusa quanto a melhor versão.",1.0,1,positivo
264258,"Sem dúvida um dos melhores romances que eu já vi. Você pode pensar que Antes do Amanhecer é um filme como qualquer outro. Mais não é. Ele é praticamente uma poesia, os diálogos são de uma sutileza incrível, tudo no filme te dá uma sensação extraordinária. Como o Marcelo K. falou em seu comentário, também sou apaixonado pela cena que a Celine  liga  para a amiga e conta sobre sua viagem. A cena é uma das mais apaixonantes que eu já presenciei. Acho que eu vou ser o segundo a concordar com o Blynk:  Mas a mais bela visão esta nas cenas finais, onde retornamos a aqueles belíssimos lugares por onde os personagens passaram e entendemos o que mostravam as fotos avistadas por eles no cartaz de uma exposição, aqueles mesmos lugares não possuem vida sem a presença deles. Tem como não amar esse filme?",1.0,1,positivo
1110019,"Filme dirigido e protagonizado por mulheres, O Conto fala de um tema controverso, Pedofilia, de maneira adulta e complexa. Baseado nas memórias da própria diretora, Jennifer Fox, a história é descortinada aos poucos, para o espectador e para a própria protagonista, Laura Dern. Suas lembranças românticas e idílicas se transformam em trauma à medida que investiga e lembra de fatos obscuros de sua adolescência. Um ótimo filme, um dos melhores que vi este ano. Em cartaz na HBO.",1.0,1,positivo
1248984,um amor de filme !! ♥,1.0,1,positivo
1135273,"Faltou o espirito de herói e de justiça (e é esse espirito de herói que os fãs gostam), transformaram o Dr. Connors em um cara mal e o casalzinho peter e gwen é muito chato! Filme sem emoção nenhuma! Os filmes anteriores são muuuuuito melhores! Obs.: Tio Ben foi um NINGUÉM!",0.0,0,negativo
933917,"Um filme muito forte, ótimo, um dos melhores de Almodóvar.É um filme pra poucos ver e compreender!",1.0,1,positivo
713943,"o elenco desse filme é otimo, e a Winona ja tinha 27 anos quando o fez =o",1.0,1,positivo
1060320,Lindo,1.0,1,positivo
1446626,QUE FILME MARAVILHOSOjá vi e revi umas quatro vezes e cada vez eu amo mais,1.0,1,positivo
635769,"amo os atores, fotografia maravilhosa, drama do jeito que eu gosto, amo forte <3",1.0,1,positivo
559315,Achei super criativo!,1.0,1,positivo
1388843,só de se ver representada na tela ja vale e ver muitas guerreiras na linha de frente. mas porque tudo tem que ter romance gente?,1.0,1,positivo
1353736,"Jack NIcholson, DiCaprio, Mark Wahlberg, Matt Demon.. Só o elenco já resume a geniosidade do filme.",1.0,1,positivo
1816755,"The Wolverine | Diretor faz descrição inspirada do novo filme (James Mangold promete ninjas, imortalidade, clima noir e idioma japonês) ►",1.0,1,positivo
958544,Apenas Woody Allen sendo Woody Allen,1.0,0,negativo
827460,QUE HINO!!!!!!Que raiva do embuste aaaaaaaaaaaaaaa mas nossa a menininha to chorando ate agora!!!!,1.0,0,negativo
302753,Essa diabada que quer ver o filme sem ler o livro...VÃO LER!!!!!!! AHHHHHHHHHHHH,1.0,0,negativo
1778670,"Diferentemente do que a maioria acha, acho um ótimo filme. Um dos melhores da franquia. Mesmo que destoe da característica dos outros filmes e não tenha o Paul e o Vin Diesel. Achei interessante a ligação que fizeram com os outros filmes, pra que este não ficasse solto na história, apesar disso ter confundido a cabeça de muita gente hehe",1.0,1,positivo
1357481,"Eu queria ter gostado mais. Acho que a longa duração acabou o tornando cansativo PARA MIM! Mas não há como negar que é um espetáculo filmado da melhor qualidade em todos os sentidos. É impressionante a  entrega de todos os atores em seus números, e a maestria com que a história é contada!Impressionante, porém, às vezes nos faz perder a atenção!",1.0,1,positivo
1445406,gostei! Confesso que n teve aquela luz dos outros filmes do miyazaki...,1.0,0,negativo
1275448,Genial!,1.0,1,positivo
165224,"melhor filme sobre o fim da segunda guerra,principalmente o lado alemão durante a invasão a Berlim,atuação do Bruno Ganz esta incrível como Hitler,convence muito bem.",1.0,1,positivo
987508,"Paris, Paris, Paris! <3",1.0,1,positivo
730616,"Caralho!Não é um filme chocante, mas a proposta é muito boa. A fotografia, a câmera, tudo isso confere mais drama ao filme. E a atuação da protagonista, pqp. Ótimo filme.",1.0,1,positivo
221113,Alien e muito bom! apesar de ser de 79 tem uma otima atmosfera e otima historia (pra quem gosta de ficçao).,1.0,1,positivo
