original_index,review_text,polarity
2826960,Não pega e muito ruim e uma bosta,0.0
2437319,mt bom. indico,1.0
1957211,"To com mais de 8 anos que recebo bolsa familia, e meu dinheiro nunca aumentou, só recebo 134 reais e o dinheiro não ta dando pra comprar nem uma calca pra minha filha que tem 16 anos. Por que uma calça para uma jovem de 16 anos, é mais de 300 reais.",0.0
2195543,simplesmente show de bola concluí todas as fases. E agora?,1.0
2128557,e complicado para usar,0.0
2069876,ainda não sei pq não recebi chamada mais parece bom pelos comentários talvez depois eu faça um comentário mais detalhado mais por enquanto vou dar 5 estrelas do comentário vai ser esse,1.0
2500976,Nem é um app por assim dizer.. faz apenas que um navegador faz . E é lento . Nunca tinha visto app tão inútil de uma operadora.. pensei que a tim superava o recorde de pior app mas a claro ganhou . Parabéns claro por um app tao ruim quanto as ligações que trava todo minuto,0.0
2557163,Muito bom atendeu minhas expectativas!,1.0
2431836,Gostei,1.0
1974512,"Quando eu clico no pdf após abrir, fica gerando convulsões, não para quieto! Precisa arrumar isso! Pois o app é o único que me atende!",0.0
