original_index,review_text,polarity,predicted
767574,"finalmente, uma saga com fim perfeito. ralph fiennes arrebentou!",1.0,0
1068010,"Tanto auê por causa das cenas de sexo, e dai fiquei um pouco decepcionada, pois achei que seriam muito mais surpreendentes, já que estava dando o que falar. Enfim, eu adorei o filme e estou contando os dias pro II. Cara, o jeito que a historia é contada, as referencias, o humor... é demais.",1.0,0
239286,"seria mais fofo se não tivessem tantas cenas de sexo e o peito da Anne não aparecesse toda hora, mas a Anne é a Anne, e não tem nenhum filme que tenha visto com ela e não tenha gostado. *-*",1.0,1
1668855,A perfeição cinematográfica.,1.0,0
1269476,"Que filme excelente! Direção impecável de Alejandro González Iñárritu, fotografia perfeita e o que dizer de Leonardo DiCaprio? Com certeza sai o tão esperado Oscar dele. Atuação silenciosa rica de sentimentos e transformações. Tom Hardy também está  sensacional como personagem coadjuvante. O roteiro do filme é bom, mesmo sendo tão óbvio o final, acredito que a tão esperada vingança deveria mesmo ser realizada. O forte mesmo em minha opinião são a fotografia, direção e principalmente as atuações.",1.0,0
259022,"O filme e meio parado ate a metade, depois o roteiro ganha ritmo, ate que e um filme bom para passar um tempo e sendo mais um daqueles muitos filmes esquecidos no vhs.",0.0,0
725658,"Muito bom, adoro esse filme, muito foda!",1.0,1
140719,ESSE FILME É DO CARALHO,1.0,1
235358,"assisti novamente hj na hbo...mto bom, a cena na casa do Cal onde ele descobre que o Jacob é o namorado da sua filha é impagável... ai ai Ryan Gosling sem camisa ""FUCK! Seriously?! It's like you are photoshopped!"" sem mais...rsrsss",1.0,1
226700,"Matheus Nachtergaele já é um ator que não me assusta mais com atuações impecáveis, mas ainda tô chocada com a Dira Paes...",1.0,1
376823,MUUITO BOM.,1.0,1
505104,Este filme e Duro de Matar fizeram parte da minha infância!,1.0,1
1347250,"BEETLEJUICE, BEETLEJUICE ,BEETLEJUICE",1.0,0
490296,"Admirei agudamente os frames, que obra de arte primorosa!",1.0,0
1004607,"Destaco a interpretação de Mark Ruffalo e o final meio fora do convencional, mas só. Achei uma história desinteressante.",0.0,0
1631498,"achei totalmente surreal, mas pelo nome era de se esperar... adorei a trilha sonora baixei inteira, simplesmente fantastica",0.0,0
800448,"É para um público beeeem infantil. Diferente de animações como Os Incríveis, que estimulam o público mais velho, não vale a pena ver se você não for uma criança.",0.0,0
407591,"Que filme maravilhoso! Cada personagem tem seu carisma, ninguém fica atrás. Mas para mim, maior parte do carinho vai para o Donald O' Connor, ficava vidrada nas cenas dele! Enfim, um filme que demorei a ver e me arrependo de não ter visto antes.",1.0,1
334501,Simplesmente TOP!!!!,1.0,0
1613747,Uma nova forma de se falar sobre casamentos em crise...Muito bom!,1.0,0
827226,"Fiquei surpresa, não esperava um filme tão bom.  A morte do protagonista foi surpreendente e real. Nem todo o mundo sobrevive no final, mas isso é raramente colocado em obras do gênero.",1.0,0
666517,"bom, quando vi o trailer desse filme achei que era um filmaço mas ele ér fraquinho mas eu recomendo !",1.0,0
1417774,Tão profundo que é quase como uma poesia.,1.0,0
1471159,"Depois de ver Bates Motel,minha vontade aumentou de ver esse clássico,Que filme,segura os segredos até o último minuto,sem perder o fôlego e o suspense te faz grudar na tela sem piscar um segundo,Que atuação do Anthony.Esses novos filmes,precisam aprender um pouco com Psycho,que dá uma aula de como fazer cinema!",1.0,1
1003083,"Muito bom!!! Bacana demais!!!A vida é uma trilha sonora!Bom seria não desafinar, mas acontece...",1.0,1
570119,Esse filme tem a melhor trilha sonora ♫ ♥,1.0,1
1443217,"Não canso de assistir. Quando comprei o dvd, foi ao acaso. E amei. Minha irmã emprestou para os amigos, e acabou que mais de 30 pessoas assistindo (rsrs) e todas adoraram. Imperdível. Pena que AnnaShopihia não fez tantos filmes como merecia.",1.0,1
718520,É um clássico. Muito bom...,1.0,0
1602955,Isso é que é viver poeticamente. ♥,1.0,1
864390,"Tudo sobre a vida, cada estágio dela, com os impulsos, desejos,contradições ;tudo. Correr , correr e as mais que charmosas olheiras (que nunca gostei muito, mas as dela...) da Jeanne Moreau.",1.0,0
1235003,"Filme interessante, a história te prende, é bem conduzida. As referências históricas são bem retratadas, é uma boa aula de história. Assistido em 06/11/2018.",1.0,0
1495366,7 1/2,1.0,0
837234,"Que elenco infantil maravilhosoQue filmaço!!!!Quantos sustos eu levei mesmo? Perdi as contas.Cara, nem pisquei... Esse filme pra mim foi primazia.Foi feito um ótimo trabalho!",1.0,0
1233737,"Adorei esse filme!!! Achei lindo, romântico, bem humorado...fofoooooooooooo!!!",1.0,1
520476,"Incrível. Uma salva de palmas para atuações de todos mas especialmente o Daniel e a Allison, a sequência final foi de tirar o fôlego.O filme te faz pensar sobre seus privilégios e o local em que você se encontra na sociedade.Ainda no começo, quando o pai dela fala sobre os cervos na estrada e é claramente o discurso de muitos brancos sobre negros (""são ratos, agora estão em todo lugar""), é arrepiante. Deveria ser obrigatório assistir algo desse gênero!",1.0,0
780528,Um filme acima da média!,1.0,0
1068950,"""O erótico é dizer sim.""",1.0,0
209378,"Toda a sequência do diálogo entre Kevin e Milton no final já vale o filme inteiro.Mais que recomendado! ""A vaidade, definitivamente, é o meu pecado favorito""",1.0,1
946459,"Viva a era de Aquarius! Quem não entendeu o filme, está na hora de desligar a televisão e ler uns livros.",1.0,1
15695,"deve ser um dos piores filmes da história,super chato e arrastado",0.0,1
1136218,"ho rrí vel. cara, esse moleque não é o homem aranha. jamais será.",0.0,0
1804265,"Lindoooooo, ameiii!!!De cara me apaixonei pelo Wall-e!!!!muito fofoooooooo, quero um pra mim!!!Quanto ao filme, história muito bonita e meio apavorante, porque é mais ou menos nesse caminho que as coisas vão indo!!!Recomendo Muuuitooooooo!!!!",1.0,0
59762,A trilha sonora já saiu e tá muito boa. Ansiedade define pra esse filme.,1.0,0
