original_index,review_text,polarity
347104,Como é produção ? O filme já vazou ?Santa Incompetência Batman.,0.0
1149667,Me impressionei com esse filme,1.0
1464583,Uma festa de skins fullscene.,0.0
1751974,"Uma mulher fantástica retrata uma situação que eu nunca tinha visto no cinema e que eu nunca havia parado para pensar... E é exatamente isso que o filme faz, nos bota pra pensar sobre os sentimentos, sobre como as pessoas enxergam as diferenças umas das outras atualmente: Quem define como e quem devemos amar? Por que o outro acha que tem o mínimo direito de apontar o dedo e dizer que a forma que você ama é errada, promíscua ou anormal? Daniela Vega realmente é uma mulher fantástica, entrega pro telespectador uma Marina que nos faz sentir empatia e sentir toda a carga do drama em que vive de forma sútil e ao mesmo tempo tão complexa. Simplesmente incrível.",1.0
1119423,"Gostei da trilha sonora, bem animada...",0.0
1452699,"O filme me incomodou, talvez porque o diretor e os atores conseguiram passar com tanta realidade uma situação tão delicada. Durante o filme você sente a tensão, a angústia, e não são muitos que conseguem passar essa sensação de uma forma sincera. Não recomendo esse filme para muitas pessoas, não por ser ruim, longe disso, ele é tão bom que te faz sentir certas emoções que deixam bem deprimido. É a realidade de algumas pessoas expressada com um olhar bem detalhado.",1.0
1704657,gostei,0.0
1389059,Pelo menos 2 Oscars consegue levar..,1.0
519629,"Excelente filme. Baseia-se na teoria do caos de forma que não fica desgastante e maçante. Um simples detalhe pode mudar o final da história. Os personagens com quem ela cruza durante a ""correria"", cada um com sua vida e futuro. Filme simples, sem muita frescuragem, mas singular em todos os quesitos; a brincadeira com o tempo e as possibilidades o faz ser super interessante.",1.0
110883,"Apesar da premissa ser interessante e do enredo baseado num excelente quadrinho escrito por Alan Moore, o filme não empolga. Houve algumas alterações nos personagens originais em que nada acrescentou para a história.Acho que merecia outra tentativa de transposição, mas por outro diretor.",0.0
