original_index,review_text,polarity
6061,Nao,0.0
37545,"Recebi a mochila antes mesmo do prazo estabelecido. Produto excelente, segue exatamente o que está no anúncio. ",1.0
45528,Peço um produto por um código e vem outro totalmente diferente.,0.0
53950,Parabéns pelas metas,1.0
43748,Não tive opção de retificar o endereço correto para receber minha encomenda ,0.0
64014,Gostei! Bem embalado. Perfeito. ,1.0
33580,Detestei a loja só me entregara m um cartucho liguei pra reclamar ai falaram q mandaram o outro separado e não me mandaram o cód de rastreio só fiquei sabendo pq liguei pra reclamar. ,0.0
76900,"Comprei,paguei,esperei um pouco mas...recebi e gostei !!!!
Diferente da minha experiência anterior, com outro ""parceiro"" do baratheon que, depois de muuuiiita espera, não entregou o produto. Parabéns!",1.0
70733,"Entregue dentro da data determindada. Nada a reclamar. E-mail respondido conforme o prazo. Em fim, entregarei meu presente completamente satisfeito.",1.0
4262,Vocês venderam algo que não tinham no estoque. Esse procedimento é problemático. Minha filha ainda aguarda a boneca que comprei. Passou o Natal e nada. Vem o ano novo amanhã. E nada. Quero o produto.,0.0
