original_index,review_text,polarity
504977,"Muito bom filme sobre amizade e lealdade. Geralmente as adaptações de dramas do Stephen King são ótimas, esse não fugiu a regra, emocionante e tocante!",1.0
607773,"Maravilhosa pérola libanesa, cheia de imagens femininas fortes, quebrando o paradigma machista criado pelo povo muçulmano. É divertido e de fácil identificação com os conflitos dessas mulheres, que são mostrados com seriedade e ao mesmo tempo leveza. É realmente uma pena que filmes como este não cheguem ao nosso público!",1.0
1475517,Genial!,1.0
227517,"bem legal, pena que o desenrolar é só no finalzinho... poderia ter continuação...² ^^",1.0
403667,"Roteiro Fodaaaaaa,  Sandra Bullock segurando o filmão todo.Um dos melhores do Ano.",1.0
33695,"Para alguns, é chato. Para outros, ambicioso demais. Mas, para quem se dispuser a enfrentar uma experiência diferente no cinema, é simplesmente emocionante. Seja de que religião você for, ou o tipo de relacionamento familiar que tem, alguma coisa vai fazer você ser tocado. Basta baixar a guarda.",1.0
404592,Achei interessante e melhor que muito filme lançado pela Netflix esse ano,1.0
942992,Eu curto!,1.0
1643315,"Foi o meu primeiro filme no cinema também, segundo à minha mãe, e eu me lembro! Amo.",1.0
1324270,"Que filme!!! Um filme de ficção científica que podemos correlacionar com o controle de natalidade na vida real. Não curto o gênero, mas me surpreendeu e prendeu do começo ao fim. E a atuação de Noomi foi impecável e dispensa comentários.",1.0
948507,Todos que viram o filme leiam isto :,1.0
1208937,vale a pena...assistam.,1.0
696640,"Obviamente James mostra mais uma vez pq é um dos melhores atores da sua geração.O filme é bom. Tem suas imperfeições, mais dá pra passar levando em conta as atuações dele. As três garotas também mandaram bem.",1.0
721104,"Uma volta aos roteiros oitentistas. Sim, eu sei que tem muito clichê, mas vi uma boa aplicação deles.",1.0
1486852,"Esperava mais do filme, na metade já não aguentava mais e só queria que pegassem o bando logo. Final bem besta.",0.0
1764560,Chorei,1.0
972295,HmmmmHmmmm Hmmmmm  eu amo demais <3,1.0
415195,"Gostei do filme, deixa tudo encaminhado pros vingadores. O vilão é muito bem interpretado e ajuda.",1.0
158474,Incrível. a historia nos faz pensar. eu vi na aula de religiao e gostei muito.,1.0
1004483,coisa mar linda <3,1.0
1136087,"Gostei muito do filme. Andrew Garfield, caiu como uma luva em Peter Park, muito carismático. Todos os atores foram bem colocados em seus papeis.",1.0
679512,Simbiose esplêndida..fotogramas belíssimos. Esse filme é um absurdo de boa realização numa época como aquela. As horas são necessárias e constroem bem a narrativa.obscuro e amedrontador!,1.0
1616376,"Sem dúvidas, um bom filme. Mas falta algo, uma identidade marcante...",1.0
511941,"E aquela cena inusitada depois dos créditos, hein?",1.0
656266,^^,1.0
1621352,luke sou seu pai.. TT oO esta cena foi marcada para sempre..,1.0
1191321,"Achei o filme meio paradão, mas acho incrível como o Polanski consegue fazer você assistir ao filme todo, bem entretido. Ele faz a mesma coisa com o Bebê de Rosemary e Repulsa ao Sexo.",1.0
824714,"Nooossaaa, quem poder ver vejaaa :D boom demais esse filme!",1.0
702373,we finish each other's sandwiches <3,1.0
840520,"Me apaixonei pelos personagens, como lidar?",1.0
320071,"é um filme maravilhoso, não sei como podem reclamar.. tem coisinhas que são clichês sim, mas como um todo o filme é muito bem dirigido e o que mais me impressiona são os ângulos de filmagem e todos os acertos de continuidade.. fora o que todo mundo já sabe de ser um filme espetacular visualmente, a trilha sonora também é muito boa.. um projeto tão grandioso, que levou mais de uma década pra ser executado, e ainda tem gente que insiste em dizer que dormiu no filme ou que o filme é superestimado.. essas pessoas realmente não merecem ver o trabalho magnífico de James Cameron. sinceramente eu acho que esse vai ser o único filme ""puro"" da ""saga"", os próximos serão feitos estritamente pelo lucro e aí sim vocês terão algo para criticar.",1.0
567369,Já assisti milhões de vezes e ainda continuo adorando.,1.0
1795865,"Não achei o maior confronto de todos os tempos como o Marketing sugeriu.  É bem produzido, apesar que em algumas CGI ainda se percebe algumas coisas meio artificiais. Até porque o que mais a Marvel deve ter gastado nesse filme foi com o salário dos atores e não com a produção em si. Porque o elenco é milionário. Algumas cenas achei bem convenientes apenas pra empurrar a história pra onde ela queria chegar.  Mas mesmo assim é um filme legal e diverte bastante. As piadas eu não consigo achar graça, mas a do Peter, fazendo referência ao Alien me arrancou bastante risadas. O final eu gostei bastante. Foi um encerramento bem apocalíptico, e melancólico. Pelo menos eu fiquei muito empolgado pra saber o que vai acontecer no próximo. É um filme bem acima da média pra esse gênero, e me arrisco a dizer que foi o melhor do MCU até agora.",1.0
1224651,"Levei dias para digerir este filme. Fiquei inconsolável ao perceber como continuamos alheios ao que rola no continente esquecido. Ainda vivemos o eurocentrismo e EUA centrismo, o resto é periferia. Mas a África, que julgamos ser uma coisa só e tem tantos sotaques, tribos e modos de vida, permanece um mistério. Daí vem o ator de ""12 anos de escravidão"" e dá esse tabefe na nossa cara mostrando q no mesmo lugar que não tem energia elétrica e só come o q se planta, existe ânsia de saber. As interpretações estão ótimas, adorei especialmente a mãe e o fato de falarem o idioma do Malaui. A diferença entre uma pessoa que alcança os seus objetivos e outra q morre a míngua é ter oportunidades. Tanta gente desprezando o estudo sem entender que a educação pode ser a redenção de um continente inteiro que ainda não passou pela revolução industrial, que dirá a digital.",1.0
856966,"apesar de nao ter gostado das cameras desfocadas e balançando o filme inteiro.fazia tempo que um filme nao me deixava entretida. mesmo nao tendo noção da historia, pois nao li nenhum dos livros. o filme vale mais pela atriz jennifer lawrence.",1.0
733603,"Que ansiedade!! Senti ""borboletas ruins"" no estômago, o tempo todo. Sandra apenas sendo Sandra, maravilhosa!A cena em que ela tem uma alucinação com o Matt, me acusou uma tristeza tão grande, sensação de solidão. Tive que segurar a mão da minha irmã, hahaha.",1.0
572476,"Pixar, selo de qualidade",1.0
1511244,FODE!,1.0
1043227,Excelente obra do diretor. Amo esse filme.,1.0
